"ID","n_N","n_gap","length","year","lineage","previous"
"SUB7113",116,0,11807,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7116",113,0,11810,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7118",20,0,11903,"2015","Cosmopolitan_J1","Cosmopolitan AF1b"
"SUB7119",62,0,11861,"2015","Cosmopolitan_J1","Cosmopolitan AF1b"
"SUB7121",97,0,11826,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7122",50,0,11873,"2016","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SUB7123",71,0,11852,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7125",292,0,11631,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7126",75,0,11848,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7127",9,0,11914,"2015","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"SUB7128",178,0,11745,"2015","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"SUB7130",11,0,11912,"2015","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"SUB7132",302,0,11621,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7138",2,0,11921,"2015","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"SUB7140",83,0,11840,"2015","Cosmopolitan AF1b_B1.2.1","Cosmopolitan AF1b"
"SUB7143",116,0,11807,"2015","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7144",9,0,11914,"2016","Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"SUB7145",21,0,11902,"2016","Cosmopolitan_J1","Cosmopolitan AF1b"
"SUB7146",61,0,11862,"2016","Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
