"ID","year","country","assignment"
"KY124533",2011,"Chad","Africa-2"
"KY124534",2012,"Chad","Africa-2"
"KY124535",2012,"Chad","Africa-2"
"KY124536",2012,"Chad","Africa-2"
"KY124537",2012,"Chad","Africa-2"
"KY124538",2012,"Chad","Africa-2"
"KY124539",2012,"Chad","Africa-2"
"KY124540",2012,"Chad","Africa-2"
"KY124541",2013,"Chad","Africa-2"
"MF538629",2014,"Chad","Africa-2"
"MG458307",2000,"South Africa","Africa-3"
"MG458308",2000,"South Africa","Africa-3"
"MH514968",2001,"Senegal","Africa-2"
"MH514969",2005,"Senegal","Africa-2"
"MH514970",2011,"Senegal","Africa-2"
"MH514971",2010,"Senegal","Africa-2"
"MH514972",2008,"Senegal","Africa-2"
"MH514973",2011,"Senegal","Africa-2"
"MH514974",2011,"Senegal","Africa-2"
"MH514975",2013,"Senegal","Africa-2"
"MH514976",2010,"Senegal","Africa-2"
"MH514977",2013,"Senegal","Africa-2"
"MH514978",2014,"Senegal","Africa-2"
"MH514979",2014,"Senegal","Africa-2"
"MH514980",2014,"Senegal","Africa-2"
"MH514981",2013,"Senegal","Africa-2"
"MH514982",2007,"Senegal","Africa-2"
"MH514983",2011,"Senegal","Africa-2"
"MH514984",2011,"Senegal","Africa-2"
"MH514985",2015,"Senegal","Africa-2"
"MK471247",2018,"Guinea","Africa-2"
"U22485",1986,"-","Africa-2"
"U22487",1995,"-","Africa-2"
"U22489",1986,"-","Africa-2"
"U22640",1990,"-","Africa-2"
"U22641",1990,"-","Africa-2"
"U22644",1992,"-","Africa-2"
"",NA,"",""
"cD35",2021,"Nigeria","Africa-2"
"",NA,"",""
"cD483",2021,"Nigeria","Africa-2"
"",NA,"",""
"cD484",2021,"Nigeria","Africa-2"
"",NA,"",""
"cD810",2020,"Nigeria","Africa-2"
"",NA,"",""
"R51",2020,"Nigeria","Africa-2"
"",NA,"",""
"R960",2019,"Nigeria","Africa-2"
"",NA,"",""
"TB430",2020,"Nigeria","Africa-2"
"",NA,"",""
"TBS246",2021,"Nigeria","Africa-2"
"",NA,"",""
"WBS246",2021,"Nigeria","Africa-2"
"",NA,"",""
"WBS466",2020,"Nigeria","Africa-2"
"",NA,"",""
"CD275",2019,"Nigeria","Africa-2"
"",NA,"",""
"CD3",2019,"Nigeria","Africa-2"
"",NA,"",""
"CD8",2019,"Nigeria","Africa-2"
"",NA,"",""
"R1298",2021,"Nigeria","Africa-2"
"",NA,"",""
"R317",2021,"Nigeria","Africa-2"
"",NA,"",""
"R483",2021,"Nigeria","Africa-2"
"",NA,"",""
"R484",2021,"Nigeria","Africa-2"
"",NA,"",""
"R62",2020,"Nigeria","Africa-2"
"",NA,"",""
"R665",2020,"Nigeria","Africa-2"
"",NA,"",""
"R97",2020,"Nigeria","Africa-2"
"",NA,"",""
"cD1175",2021,"Nigeria","Africa-2"
"",NA,"",""
"R246",2021,"Nigeria","Africa-2"
"",NA,"",""
"TB246",2021,"Nigeria","Africa-2"
"",NA,"",""
"WB246",2021,"Nigeria","Africa-2"
"",NA,"",""
"cD31",2021,"Nigeria","Africa-2"
"",NA,"",""
"R31",2021,"Nigeria","Africa-2"
"",NA,"",""
"R1175",2021,"Nigeria","Africa-2"
"",NA,"",""
"cD466",2020,"Nigeria","Africa-2"
"",NA,"",""
"WB466",2020,"Nigeria","Africa-2"
"",NA,"",""
"R466",2020,"Nigeria","Africa-2"
"",NA,"",""
"WB1175",2021,"Nigeria","Africa-2"
"",NA,"",""
"WB809",2020,"Nigeria","Africa-2"
"",NA,"",""
"WBS1175",2021,"Nigeria","Africa-2"
"",NA,"",""
"cD809",2020,"Nigeria","Africa-2"
