"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"SD678","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3234","Cosmopolitan AF1b_B1.3","Tanzania",2010,2013
"RV3250","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RV3262","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7132","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RV3252","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7121","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7126","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7125","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7123","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RAB12002","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7097","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RAB12039","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RAB12005","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RV3240","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD650","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD657","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7143","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD647","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD635","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7140","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7122","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD669","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD643","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD644","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD662","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD660","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD664","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7105","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7144","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7113","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7101","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RV3253","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD622","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RV3198","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RV3247","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RV3256","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7100","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SUB7116","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RV3249","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD577","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"SD620","Cosmopolitan AF1b_B1.2","Tanzania",2011,2017
"RV3254","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"RV2934","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RV3116","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RAB16024","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RAB16029","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RAB16027","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RAB16026","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RAB16028","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RV2932","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RV2948","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RV2937","Cosmopolitan AF1b_C1","Tanzania",2009,2017
"RV2949","Cosmopolitan AF1b_A1.1.2","Tanzania",2003,2011
"SD703","Cosmopolitan AF1b_A1.1.2","Tanzania",2003,2011
"RV2946","Cosmopolitan AF1b_A1.1.2","Tanzania",2003,2011
"SUB7109","Cosmopolitan_K1","Tanzania",1997,1997
"SUB7127","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SUB7128","Cosmopolitan AF1b_A1.1.1","Tanzania",2008,2018
"SD575","Cosmopolitan_A1.2","c(""Central African Republic"", ""Madagascar"", ""Tanzania"", ""Zimbabwe"")",1986,2011
"RAB12001","Cosmopolitan_A1.2","c(""Central African Republic"", ""Madagascar"", ""Tanzania"", ""Zimbabwe"")",1986,2011
